datehour,date,hour,bus_route,ridership
2025-01-01 00:00:00,2025-01-01,0,B1,30.0
2025-01-01 00:00:00,2025-01-01,0,B35,70.0
2025-01-01 00:00:00,2025-01-01,0,B38,57.0
2025-01-01 00:00:00,2025-01-01,0,B41,150.0
2025-01-01 00:00:00,2025-01-01,0,B6,92.0
2025-01-01 00:00:00,2025-01-01,0,B8,52.0
2025-01-01 00:00:00,2025-01-01,0,BX12+,9.0
2025-01-01 00:00:00,2025-01-01,0,BX9,35.0
2025-01-01 00:00:00,2025-01-01,0,M101,238.0
2025-01-01 00:00:00,2025-01-01,0,M14D+,64.0
2025-01-01 00:00:00,2025-01-01,0,M15,239.0
2025-01-01 00:00:00,2025-01-01,0,M15+,28.0
2025-01-01 00:00:00,2025-01-01,0,M4,12.0
2025-01-01 00:00:00,2025-01-01,0,M86+,82.0
2025-01-01 00:00:00,2025-01-01,0,Q10,94.0
2025-01-01 00:00:00,2025-01-01,0,Q17,67.0
2025-01-01 00:00:00,2025-01-01,0,Q23,76.0
2025-01-01 00:00:00,2025-01-01,0,Q25,49.0
2025-01-01 00:00:00,2025-01-01,0,Q27,41.0
2025-01-01 00:00:00,2025-01-01,0,Q44+,38.0
2025-01-01 00:00:00,2025-01-01,0,Q46,42.0
2025-01-01 00:00:00,2025-01-01,0,Q58,94.0
2025-01-01 00:00:00,2025-01-01,0,Q60,57.0
2025-01-01 00:00:00,2025-01-01,0,Q65,84.0
2025-01-01 00:00:00,2025-01-01,0,Q66,47.0
2025-01-01 01:00:00,2025-01-01,1,B1,19.0
2025-01-01 01:00:00,2025-01-01,1,B35,66.0
2025-01-01 01:00:00,2025-01-01,1,B38,59.0
2025-01-01 01:00:00,2025-01-01,1,B41,85.0
2025-01-01 01:00:00,2025-01-01,1,B6,60.0
2025-01-01 01:00:00,2025-01-01,1,B8,36.0
2025-01-01 01:00:00,2025-01-01,1,BX12+,4.0
2025-01-01 01:00:00,2025-01-01,1,BX9,21.0
2025-01-01 01:00:00,2025-01-01,1,M101,188.0
2025-01-01 01:00:00,2025-01-01,1,M14D+,52.0
2025-01-01 01:00:00,2025-01-01,1,M15,472.0
2025-01-01 01:00:00,2025-01-01,1,M15+,20.0
2025-01-01 01:00:00,2025-01-01,1,M4,0.0
2025-01-01 01:00:00,2025-01-01,1,M86+,95.0
2025-01-01 01:00:00,2025-01-01,1,Q10,71.0
2025-01-01 01:00:00,2025-01-01,1,Q17,53.0
2025-01-01 01:00:00,2025-01-01,1,Q23,87.0
2025-01-01 01:00:00,2025-01-01,1,Q25,92.0
2025-01-01 01:00:00,2025-01-01,1,Q27,82.0
2025-01-01 01:00:00,2025-01-01,1,Q44+,27.0
2025-01-01 01:00:00,2025-01-01,1,Q46,63.0
2025-01-01 01:00:00,2025-01-01,1,Q58,114.0
2025-01-01 01:00:00,2025-01-01,1,Q60,69.0
2025-01-01 01:00:00,2025-01-01,1,Q65,57.0
2025-01-01 01:00:00,2025-01-01,1,Q66,82.0
2025-01-01 02:00:00,2025-01-01,2,B1,8.0
2025-01-01 02:00:00,2025-01-01,2,B35,14.0
2025-01-01 02:00:00,2025-01-01,2,B38,66.0
2025-01-01 02:00:00,2025-01-01,2,B41,35.0
2025-01-01 02:00:00,2025-01-01,2,B6,20.0
2025-01-01 02:00:00,2025-01-01,2,B8,16.0
2025-01-01 02:00:00,2025-01-01,2,BX12+,1.0
2025-01-01 02:00:00,2025-01-01,2,BX9,7.0
2025-01-01 02:00:00,2025-01-01,2,M101,26.0
2025-01-01 02:00:00,2025-01-01,2,M14D+,11.0
2025-01-01 02:00:00,2025-01-01,2,M15,265.0
2025-01-01 02:00:00,2025-01-01,2,M15+,2.0
2025-01-01 02:00:00,2025-01-01,2,M4,0.0
2025-01-01 02:00:00,2025-01-01,2,M86+,10.0
2025-01-01 02:00:00,2025-01-01,2,Q10,88.0
2025-01-01 02:00:00,2025-01-01,2,Q17,26.0
2025-01-01 02:00:00,2025-01-01,2,Q23,0.0
2025-01-01 02:00:00,2025-01-01,2,Q25,58.0
2025-01-01 02:00:00,2025-01-01,2,Q27,59.0
2025-01-01 02:00:00,2025-01-01,2,Q44+,30.0
2025-01-01 02:00:00,2025-01-01,2,Q46,13.0
2025-01-01 02:00:00,2025-01-01,2,Q58,62.0
2025-01-01 02:00:00,2025-01-01,2,Q60,43.0
2025-01-01 02:00:00,2025-01-01,2,Q65,51.0
2025-01-01 02:00:00,2025-01-01,2,Q66,86.0
2025-01-01 03:00:00,2025-01-01,3,B1,6.0
2025-01-01 03:00:00,2025-01-01,3,B35,18.0
2025-01-01 03:00:00,2025-01-01,3,B38,26.0
2025-01-01 03:00:00,2025-01-01,3,B41,33.0
2025-01-01 03:00:00,2025-01-01,3,B6,17.0
2025-01-01 03:00:00,2025-01-01,3,B8,16.0
2025-01-01 03:00:00,2025-01-01,3,BX12+,2.0
2025-01-01 03:00:00,2025-01-01,3,BX9,7.0
2025-01-01 03:00:00,2025-01-01,3,M101,29.0
2025-01-01 03:00:00,2025-01-01,3,M14D+,13.0
2025-01-01 03:00:00,2025-01-01,3,M15,61.0
2025-01-01 03:00:00,2025-01-01,3,M15+,1.0
2025-01-01 03:00:00,2025-01-01,3,M4,0.0
2025-01-01 03:00:00,2025-01-01,3,M86+,8.0
2025-01-01 03:00:00,2025-01-01,3,Q10,84.0
2025-01-01 03:00:00,2025-01-01,3,Q17,24.0
2025-01-01 03:00:00,2025-01-01,3,Q23,0.0
2025-01-01 03:00:00,2025-01-01,3,Q25,39.0
2025-01-01 03:00:00,2025-01-01,3,Q27,25.0
2025-01-01 03:00:00,2025-01-01,3,Q44+,31.0
2025-01-01 03:00:00,2025-01-01,3,Q46,16.0
2025-01-01 03:00:00,2025-01-01,3,Q58,56.0
2025-01-01 03:00:00,2025-01-01,3,Q60,35.0
2025-01-01 03:00:00,2025-01-01,3,Q65,45.0
2025-01-01 03:00:00,2025-01-01,3,Q66,35.0
2025-01-01 04:00:00,2025-01-01,4,B1,44.0
2025-01-01 04:00:00,2025-01-01,4,B35,15.0
2025-01-01 04:00:00,2025-01-01,4,B38,16.0
2025-01-01 04:00:00,2025-01-01,4,B41,46.0
2025-01-01 04:00:00,2025-01-01,4,B6,40.0
2025-01-01 04:00:00,2025-01-01,4,B8,8.0
2025-01-01 04:00:00,2025-01-01,4,BX12+,2.0
2025-01-01 04:00:00,2025-01-01,4,BX9,15.0
2025-01-01 04:00:00,2025-01-01,4,M101,20.0
2025-01-01 04:00:00,2025-01-01,4,M14D+,16.0
2025-01-01 04:00:00,2025-01-01,4,M15,62.0
2025-01-01 04:00:00,2025-01-01,4,M15+,0.0
2025-01-01 04:00:00,2025-01-01,4,M4,0.0
2025-01-01 04:00:00,2025-01-01,4,M86+,3.0
2025-01-01 04:00:00,2025-01-01,4,Q10,84.0
2025-01-01 04:00:00,2025-01-01,4,Q17,17.0
2025-01-01 04:00:00,2025-01-01,4,Q23,1.0
2025-01-01 04:00:00,2025-01-01,4,Q25,37.0
2025-01-01 04:00:00,2025-01-01,4,Q27,37.0
2025-01-01 04:00:00,2025-01-01,4,Q44+,54.0
2025-01-01 04:00:00,2025-01-01,4,Q46,36.0
2025-01-01 04:00:00,2025-01-01,4,Q58,53.0
2025-01-01 04:00:00,2025-01-01,4,Q60,54.0
2025-01-01 04:00:00,2025-01-01,4,Q65,48.0
2025-01-01 04:00:00,2025-01-01,4,Q66,29.0
2025-01-01 05:00:00,2025-01-01,5,B1,31.0
2025-01-01 05:00:00,2025-01-01,5,B35,60.0
2025-01-01 05:00:00,2025-01-01,5,B38,22.0
2025-01-01 05:00:00,2025-01-01,5,B41,61.0
2025-01-01 05:00:00,2025-01-01,5,B6,139.0
2025-01-01 05:00:00,2025-01-01,5,B8,49.0
2025-01-01 05:00:00,2025-01-01,5,BX12+,8.0
2025-01-01 05:00:00,2025-01-01,5,BX9,46.0
2025-01-01 05:00:00,2025-01-01,5,M101,46.0
2025-01-01 05:00:00,2025-01-01,5,M14D+,26.0
2025-01-01 05:00:00,2025-01-01,5,M15,73.0
2025-01-01 05:00:00,2025-01-01,5,M15+,0.0
2025-01-01 05:00:00,2025-01-01,5,M4,0.0
2025-01-01 05:00:00,2025-01-01,5,M86+,14.0
2025-01-01 05:00:00,2025-01-01,5,Q10,214.0
2025-01-01 05:00:00,2025-01-01,5,Q17,66.0
2025-01-01 05:00:00,2025-01-01,5,Q23,42.0
2025-01-01 05:00:00,2025-01-01,5,Q25,63.0
2025-01-01 05:00:00,2025-01-01,5,Q27,78.0
2025-01-01 05:00:00,2025-01-01,5,Q44+,113.0
2025-01-01 05:00:00,2025-01-01,5,Q46,45.0
2025-01-01 05:00:00,2025-01-01,5,Q58,113.0
2025-01-01 05:00:00,2025-01-01,5,Q60,47.0
2025-01-01 05:00:00,2025-01-01,5,Q65,81.0
2025-01-01 05:00:00,2025-01-01,5,Q66,62.0
2025-01-01 06:00:00,2025-01-01,6,B1,110.0
2025-01-01 06:00:00,2025-01-01,6,B35,150.0
2025-01-01 06:00:00,2025-01-01,6,B38,42.0
2025-01-01 06:00:00,2025-01-01,6,B41,117.0
2025-01-01 06:00:00,2025-01-01,6,B6,235.0
2025-01-01 06:00:00,2025-01-01,6,B8,102.0
2025-01-01 06:00:00,2025-01-01,6,BX12+,86.0
2025-01-01 06:00:00,2025-01-01,6,BX9,161.0
2025-01-01 06:00:00,2025-01-01,6,M101,117.0
2025-01-01 06:00:00,2025-01-01,6,M14D+,85.0
2025-01-01 06:00:00,2025-01-01,6,M15,219.0
2025-01-01 06:00:00,2025-01-01,6,M15+,14.0
2025-01-01 06:00:00,2025-01-01,6,M4,14.0
2025-01-01 06:00:00,2025-01-01,6,M86+,32.0
2025-01-01 06:00:00,2025-01-01,6,Q10,239.0
2025-01-01 06:00:00,2025-01-01,6,Q17,126.0
2025-01-01 06:00:00,2025-01-01,6,Q23,84.0
2025-01-01 06:00:00,2025-01-01,6,Q25,121.0
2025-01-01 06:00:00,2025-01-01,6,Q27,197.0
2025-01-01 06:00:00,2025-01-01,6,Q44+,218.0
