station_complex,latitude,longitude
"Astoria-Ditmars Blvd (N,W)",40.775036,-73.91203
"Astoria Blvd (N,W)",40.77026,-73.91785
"30 Av (N,W)",40.76678,-73.92148
"Broadway (N,W)",40.76182,-73.92551
"36 Av (N,W)",40.756805,-73.92957
"39 Av-Dutch Kills (N,W)",40.75288,-73.932755
"5 Av/59 St (N,R,W)",40.764812,-73.97335
"57 St-7 Av (N,Q,R,W)",40.764664,-73.98066
"49 St (N,R,W)",40.7599,-73.98414
"28 St (R,W)",40.745495,-73.98869
"23 St (R,W)",40.741302,-73.98934
"8 St-NYU (R,W)",40.730328,-73.99263
"Prince St (R,W)",40.72433,-73.9977
"City Hall (R,W)",40.713284,-74.00698
"Rector St (R,W)",40.70722,-74.01334
"DeKalb Av (B,Q,R)",40.690636,-73.98183
Union St (R),40.677315,-73.98311
Prospect Av (R),40.665413,-73.992874
25 St (R),40.660397,-73.99809
"36 St (D,N,R)",40.655144,-74.00355
45 St (R),40.648937,-74.01001
53 St (R),40.64507,-74.01403
"59 St (N,R)",40.64136,-74.01788
Bay Ridge Av (R),40.634968,-74.02338
77 St (R),40.62974,-74.02551
86 St (R),40.62269,-74.0284
Bay Ridge-95 St (R),40.616623,-74.030876
"7 Av (B,Q)",40.67705,-73.97237
"Prospect Park (B,Q,S)",40.661613,-73.96225
Parkside Av (Q),40.655293,-73.961494
"Church Av (B,Q)",40.650528,-73.96298
Beverley Rd (Q),40.64403,-73.96449
Cortelyou Rd (Q),40.640926,-73.96389
"Newkirk Plaza (B,Q)",40.635082,-73.96279
Avenue H (Q),40.62927,-73.96164
Avenue J (Q),40.62504,-73.9608
Avenue M (Q),40.61762,-73.9594
"Kings Hwy (B,Q)",40.60867,-73.95773
Avenue U (Q),40.5993,-73.95593
Neck Rd (Q),40.595245,-73.95516
"Sheepshead Bay (B,Q)",40.586895,-73.954155
"Brighton Beach (B,Q)",40.57762,-73.96137
Ocean Pkwy (Q),40.576313,-73.9685
"W 8 St-NY Aquarium (F,Q)",40.576126,-73.97594
"Coney Island-Stillwell Av (D,F,N,Q)",40.577423,-73.98123
9 Av (D),40.646294,-73.99432
Fort Hamilton Pkwy (D),40.640915,-73.9943
50 St (D),40.63626,-73.99479
55 St (D),40.631435,-73.995476
71 St (D),40.61959,-73.99886
79 St (D),40.613503,-74.00061
18 Av (D),40.607952,-74.00174
20 Av (D),40.604557,-73.99817
Bay Pkwy (D),40.601875,-73.99373
25 Av (D),40.597706,-73.98683
Bay 50 St (D),40.58884,-73.983765
8 Av (N),40.635063,-74.01172
Fort Hamilton Pkwy (N),40.631386,-74.00535
18 Av (N),40.62067,-73.99042
20 Av (N),40.61741,-73.98502
Bay Pkwy (N),40.611816,-73.98185
Kings Hwy (N),40.603924,-73.980354
Avenue U (N),40.597473,-73.97913
86 St (N),40.59272,-73.97823
"121 St (J,Z)",40.700493,-73.82829
111 St (J),40.69742,-73.83634
"104 St (J,Z)",40.69518,-73.84433
"Woodhaven Blvd (J,Z)",40.69388,-73.85158
85 St-Forest Pkwy (J),40.692436,-73.86001
"75 St-Elderts Ln (J,Z)",40.691322,-73.86714
Cypress Hills (J),40.68994,-73.87255
"Crescent St (J,Z)",40.683193,-73.87379
"Norwood Av (J,Z)",40.68141,-73.880035
Cleveland St (J),40.679947,-73.884636
"Van Siclen Av (J,Z)",40.678024,-73.891685
Alabama Av (J),40.67699,-73.89865
"Chauncey St (J,Z)",40.68289,-73.91045
Halsey St (J),40.68637,-73.91656
"Gates Av (J,Z)",40.68963,-73.92227
Kosciuszko St (J),40.69334,-73.92882
"Myrtle Av (M,J,Z)",40.69721,-73.93565
"Flushing Av (M,J)",40.70026,-73.941124
"Lorimer St (M,J)",40.70387,-73.94741
"Hewes St (M,J)",40.70687,-73.95343
"Marcy Av (M,J,Z)",40.70836,-73.957756
"Bowery (J,Z)",40.72028,-73.99391
"Broad St (J,Z)",40.706474,-74.011055
Middle Village-Metropolitan Av (M),40.711395,-73.8896
Fresh Pond Rd (M),40.706184,-73.895874
Forest Av (M),40.704422,-73.903076
Seneca Av (M),40.702763,-73.90774
Knickerbocker Av (M),40.698666,-73.91971
Central Av (M),40.697857,-73.9274
3 Av (L),40.73285,-73.98612
1 Av (L),40.730953,-73.98163
Bedford Av (L),40.717304,-73.95687
Graham Av (L),40.714565,-73.94405
Grand St (L),40.711926,-73.94067
Montrose Av (L),40.70774,-73.93985
Morgan Av (L),40.706154,-73.93314
Jefferson St (L),40.706608,-73.92291
DeKalb Av (L),40.70381,-73.91843
Halsey St (L),40.695602,-73.90408
Wilson Av (L),40.688763,-73.904045
Bushwick Av-Aberdeen St (L),40.68283,-73.90525
Atlantic Av (L),40.675346,-73.9031
Sutter Av (L),40.66937,-73.90198
Livonia Av (L),40.66404,-73.90057
New Lots Av (L),40.658733,-73.89923
East 105 St (L),40.650574,-73.89948
Canarsie-Rockaway Pkwy (L),40.646652,-73.90185
Park Pl (S),40.67477,-73.95763
Inwood-207 St (A),40.868073,-73.9199
Dyckman St (A),40.86549,-73.92727
190 St (A),40.85902,-73.93418
181 St (A),40.851696,-73.937965
175 St (A),40.84739,-73.939705
163 St-Amsterdam Av (C),40.836014,-73.939896
